Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Los Agaves,2,2.05,160,80.0
Little Italy,2,3.55,227,113.5
Litti.In,2,3.4,312,156.0
Liquid,2,3.6,35,17.5
Let's Noodle,2,1.3,182,91.0
Midnight Hunger,2,3.45,55,27.5
Miam,2,3.55,55,27.5
Metro Fast Food,2,2.65,43,21.5
Metro Dhaba,2,1.9,419,209.5
Mellow Mushroom,2,4.25,625,312.5
Matchbox,2,4.4,1214,607.0
Manohar Dairy And Restaurant,2,4.25,481,240.5
Manohar Bikkaneri,2,3.7,145,72.5
Dezertfox,2,3.9,181,90.5
Dev Food,2,0.0,0,0.0
Desi Tadka,2,1.5,6,3.0
Delight Express,2,1.45,8,4.0
Delhi Club House,2,4.0,497,248.5
Delhi Chaat Bhandar,2,0.0,1,0.5
Delhi Biryani Hut,2,1.35,9,4.5
Dana Pani,2,1.4,4,2.0
Circus,2,3.95,719,359.5
Cinnabon,2,4.0,757,378.5
Chutneez Restaurant Lounge & Bar,2,2.55,256,128.0
Mr. Momo,2,1.35,19,9.5
Mr. Baker's,2,1.5,23,11.5
Moti Mahal Delux- Legendary Culinary,2,3.6,249,124.5
Mother's Kitchen,2,1.45,6,3.0
Moon Bite,2,3.2,190,95.0
Momos House,2,3.1,37,18.5
Mom's Kitchen,2,1.75,28,14.0
Moksha,2,3.45,164,82.0
Mogambo Kitchen,2,1.55,9,4.5
Mitthu Tikki Wala,2,3.3,67,33.5
Mithaas Sweets,2,2.9,56,28.0
Mithaas,2,3.05,205,102.5
Mirchievous,2,3.5,50,25.0
Nanking,2,3.65,569,284.5
Nagpal's,2,3.45,166,83.0
Mysore Cafe,2,3.6,291,145.5
Murliwala Bakers,2,0.0,0,0.0
Munch Nation,2,3.9,823,411.5
Muffins,2,2.7,122,61.0
Crust N Cakes,2,3.3,24,12.0
Crudo Juicery,2,4.3,187,93.5
Crazy Noodles,2,1.8,509,254.5
Country Curries,2,3.1,147,73.5
Cook Du Kdu,2,3.15,164,82.0
Cones & Curries,2,1.85,153,76.5
Comesum,2,2.35,300,150.0
Coldpress Company,2,4.05,108,54.0
Coco Bambu,2,4.55,47,23.5
Clever Fox Cafe,2,3.1,51,25.5
New Town Cafe - Park Plaza,2,3.9,404,202.0
New Punjabi Khana,2,3.5,112,56.0
New Kadimi,2,2.9,252,126.0
Chokola,2,3.45,397,198.5
Choco Kraft,2,1.6,14,7.0
Chinese King,2,2.5,77,38.5
Chinese Hot,2,0.0,1,0.5
Chinese Fast Food,2,0.0,0,0.0
China Hut,2,2.7,34,17.0
China Hot Pot,2,2.75,31,15.5
China Garden,2,3.85,1159,579.5
Chilli Tadka,2,0.0,3,1.5
Nazeer Delicacies,2,3.3,184,92.0
Nawabi Mughlai Zaika,2,3.25,53,26.5
Naturals Ice Cream,2,4.8,3094,1547.0
Natural Ice Cream,2,4.5,732,366.0
Paapi Paet,2,3.45,318,159.0
Out Of The Box,2,3.85,4900,2450.0
Otik Cake Shop,2,3.65,271,135.5
Organic Express,2,3.2,27,13.5
Olive Bistro,2,4.15,3708,1854.0
Oh! Calcutta,2,4.1,1999,999.5
Oh Buoy,2,3.35,105,52.5
Oberoi's,2,3.4,83,41.5
Oberoi Biryani,2,2.75,225,112.5
OCD - Online Cake Delivery,2,0.0,2,1.0
Nutritious Nation,2,3.55,416,208.0
Nooba,2,3.7,481,240.5
Night Munchers,2,0.0,1,0.5
Night Food Xprs,2,2.7,127,63.5
Night Food Delivery,2,1.35,7,3.5
New Zaika,2,2.75,45,22.5
Pasta Hub,2,3.05,23,11.5
Paramjeet Machi Wala,2,3.5,152,76.0
Paradise,2,3.7,1374,687.0
Papa Veg Chinese Food,2,3.35,62,31.0
Papa Buns,2,1.8,26,13.0
Pandit Ji Ki Apni Rasoi,2,1.2,6,3.0
Pandey Chinese Hut,2,2.7,50,25.0
Chili's Grill & Bar,2,3.95,813,406.5
Chick-fil-A,2,3.7,192,96.0
Chennai Express,2,1.6,15,7.5
Chawnsan Chef,2,3.4,117,58.5
