Cuisines,Restaurant_Count,Average_Rating
"Japanese, Sushi, Teriyaki",1,4.1
"Burger, American, Grill",1,4.1
"Breakfast, Modern Australian",1,4.1
"British, Bar Food, Sandwich",1,4.1
"British, Burger, Cafe",1,4.1
"Tea, Cafe",1,4.1
"European, American",2,4.1
"Desserts, Latin American, Argentine",1,4.1
"Desserts, Italian, Pizza",1,4.1
"Burger, Steak, Seafood",1,4.1
"Italian, North Indian, Desserts, Continental",1,4.1
"Mediterranean, Mexican, North Indian, American",1,4.1
"Continental, American, Cafe",1,4.1
"Continental, North Indian, Chinese, Mediterranean",1,4.1
"Cafe, Bakery, Italian",1,4.1
"Cafe, Bakery, Parsi",1,4.1
"Continental, North Indian, Chinese, Asian",1,4.1
"Italian, Continental, Chinese",1,4.1
"Mughlai, Hyderabadi",1,4.1
"Cafe, American, Italian, Continental",1,4.1
"Italian, Continental, Chinese, Mexican",1,4.1
"Italian, French",1,4.1
"Italian, Continental, Mexican, Lebanese",1,4.1
"Breakfast, Cajun",1,4.1
"Japanese, Chinese, Thai, Malaysian, Burmese, Asian",1,4.1
"Asian, Sushi",1,4.1
"Asian, Seafood",1,4.1
"Indian, Mughlai, South Indian, Biryani",1,4.1
"North Indian, Mughlai, Mexican, Thai",1,4.1
"Continental, Mexican, Burger, American, Pizza, Tex-Mex",1,4.1
"European, Asian, North Indian, Italian, Continental, Pizza",1,4.1
"European, Asian, Mediterranean, Modern Indian, Desserts, Finger Food",1,4.1
"North Indian, Andhra, Chettinad, Bengali, Mughlai, Chinese",1,4.1
"Continental, North Indian, Mughlai, Italian",1,4.1
"Bar Food, Seafood, Vegetarian",1,4.1
"North Indian, American, Chinese",1,4.1
Australian,1,4.1
"Bakery, French",1,4.1
"Continental, Italian, Mediterranean, Asian",1,4.1
"Asian, Sushi, Thai",1,4.1
"BBQ, Sandwich",1,4.1
"North Indian, Italian, Asian, South Indian",1,4.1
"International, Southern",1,4.1
"Indian, Rajasthani",1,4.1
"Asian, Japanese, Korean, Thai, Chinese",1,4.1
"Continental, European, Asian, North Indian, Chinese, Italian",1,4.1
"Continental, Chinese, Thai",1,4.1
"Hyderabadi, Awadhi",1,4.1
"Cafe, Fast Food, Healthy Food",1,4.1
"Cafe, Italian, Continental, Mexican",1,4.1
"Cafe, Continental, Italian, Pizza",1,4.1
"Cafe, Italian, Desserts",1,4.1
"Asian, Chinese, Tibetan",1,4.1
"European, Italian, Cafe",1,4.1
"Continental, Italian, American",1,4.1
"Continental, Italian, Chinese",1,4.1
"Pakistani, Chinese, Indian, Afghani",1,4.1
"European, Italian, North Indian",2,4.1
"European, Pizza",1,4.1
"American, Seafood",1,4.1
"Asian, Chinese, Thai",2,4.1
"Grill, Burger",1,4.1
"American, Tapas",1,4.1
"Finger Food, North Indian, Italian, European, Continental",1,4.1
"Cafe, Patisserie",1,4.1
"South Indian, Chinese, Continental, Italian, North Indian",1,4.1
"Cafe, Italian, Mexican, Bakery",1,4.1
"Finger Food, Italian, Spanish, Greek",1,4.1
"Cafe, Italian, European, Bakery",1,4.1
Sandwich,1,4.1
"Salad, Continental",1,4.1
"Finger Food, Italian, North Indian",2,4.1
"Cafe, Italian, Mexican, Continental",1,4.1
"Cafe, Italian, Lebanese, Continental, Mediterranean",1,4.1
"South Indian, Desserts",1,4.1
"American, Italian, Chinese",1,4.1
"Cafe, Mediterranean",1,4.1
"Cafe, Continental, Italian",10,4.08
"American, Burger",13,4.076923076923077
"Spanish, Tapas",3,4.066666666666666
"Parsi, Iranian",3,4.066666666666666
"Desserts, Sandwich",2,4.050000000000001
"Healthy Food, Juices, Salad, Italian, Continental",2,4.05
"European, Chinese, North Indian, Italian",4,4.05
"Thai, Asian",2,4.05
"Chinese, Seafood, Asian",2,4.05
Vietnamese,2,4.05
"Japanese, Sushi",18,4.044444444444444
"Burger, American",3,4.033333333333334
"North Indian, Fast Food, Italian, Asian",3,4.033333333333333
"Chinese, North Indian, Fast Food, Italian",3,4.033333333333333
"North Indian, Continental, Mughlai, Asian",3,4.033333333333333
"Pizza, Bar Food",3,4.033333333333333
"American, Breakfast, Burger",3,4.033333333333333
"American, Breakfast, Greek",1,4.0
"American, British, Continental",1,4.0
"Healthy Food, Continental, Italian",1,4.0
"Healthy Food, Continental, Juices, Beverages, Italian, Salad, Lebanese",1,4.0
"Healthy Food, North Indian, Continental",1,4.0
"Cafe, North Indian",1,4.0
"Fast Food, American, Burger",1,4.0
"Cafe, European",5,4.0
"Cafe, Continental, Italian, Street Food",1,4.0
"Cafe, Grill",1,4.0
"Cafe, Continental, Italian, Mexican",1,4.0
"Cafe, Beverages, Desserts, Pizza",1,4.0
"Cafe, Sri Lankan, Continental, American",1,4.0
"Cafe, Bakery, Tea, Vegetarian",1,4.0
"Italian, Chinese, Mexican, Thai, North Indian",1,4.0
"Cafe, Continental, North Indian, Chinese, Mexican",1,4.0
"Indian, Pakistani",1,4.0
"Indian, North Indian, Mughlai, Biryani",1,4.0
"Italian, Mexican, Continental, North Indian, Finger Food",1,4.0
"Cafe, Chinese, Continental",1,4.0
"Cafe, Chinese, Thai, North Indian, Continental",1,4.0
"Italian, Mexican, Chinese, Thai, North Indian",1,4.0
"Japanese, Asian, Seafood, Sushi",1,4.0
"Italian, North Indian, Desserts",1,4.0
"Italian, European, Cafe",1,4.0
"Italian, German, Continental",1,4.0
"Fast Food, Biryani",1,4.0
"Cafe, Pizza, Burger",1,4.0
"Finger Food, North Indian, Continental, Italian, Mediterranean",1,4.0
"Sushi, Thai",1,4.0
"Cafe, Kiwi, Ice Cream, Desserts",1,4.0
"Fast Food, North Indian, Mughlai",1,4.0
"Fast Food, Italian, Chinese",1,4.0
"Sushi, Japanese, Healthy Food",1,4.0
"Burger, Fast Food, Desserts, Beverages",1,4.0
"Burger, Finger Food, Pizza",1,4.0
"Burger, Grill",1,4.0
"British, Steak",1,4.0
"Desserts, Fast Food, Ice Cream",1,4.0
"Desserts, American",1,4.0
"Cafe, American, Italian",1,4.0
"Burger, Seafood",1,4.0
"Mediterranean, Tapas, Vegetarian",1,4.0
"Continental, Seafood, Burger, South African, Finger Food, Grill",1,4.0
"Continental, North Indian, European, Asian",1,4.0
"Juices, Desserts",2,4.0
"Biryani, Andhra",1,4.0
"Breakfast, Mexican, Southwestern",1,4.0
"Latin American, Italian",1,4.0
"Kerala, Indian, Chinese, Bakery",1,4.0
"North Indian, Asian, Italian",1,4.0
"North Indian, Chinese, Italian, Lebanese, Mexican",1,4.0
"North Indian, Chinese, Italian, Mexican",1,4.0
"Bar Food, Sandwich, Seafood",1,4.0
"North Indian, Continental, Italian, Asian",1,4.0
"North Indian, Hyderabadi, Kashmiri, Chinese",1,4.0
"Bakery, Desserts, Cafe",3,4.0
"North Indian, Continental, Italian, Chinese",2,4.0
"Continental, Modern Indian, Asian",1,4.0
"Continental, Mexican, Beverages, Desserts, North Indian, Chinese, Rajasthani",1,4.0
"Continental, Italian, Thai, Finger Food",1,4.0
"Chinese, Japanese, Korean, Asian",1,4.0
"North Indian, Chinese, Italian, Mexican, Lebanese",1,4.0
"Bihari, Lucknowi, North Indian",1,4.0
"Malaysian, Thai, Kerala, Vietnamese, Sri Lankan",1,4.0
"Lebanese, Arabian, Middle Eastern",1,4.0
"North Indian, Lebanese, Mexican, Asian, Italian, American, European",1,4.0
"North Indian, Mangalorean, Chinese",1,4.0
"Continental, Italian, North Indian, Chinese",1,4.0
"Continental, Italian, North Indian, Lebanese, Thai",1,4.0
"Continental, Mediterranean, Italian, North Indian",1,4.0
"North Indian, Mughlai, Lebanese, Arabian, Mediterranean",1,4.0
"Asian, Thai, Vegetarian",1,4.0
"BBQ, Southern",1,4.0
"Pakistani, Afghani, Indian, Hyderabadi",1,4.0
Pakistani,2,4.0
"Continental, Fast Food, Chinese, Charcoal Grill, Mexican",1,4.0
"Continental, European, North Indian, French",1,4.0
"American, Seafood, Sushi",1,4.0
"Portuguese, African, Lebanese",1,4.0
"Peranakan, Indonesian",1,4.0
"North Indian, Rajasthani, Asian",1,4.0
"Pizza, Mexican, Chinese, Italian",1,4.0
"Pizza, Seafood, Steak",1,4.0
"Seafood, Chinese, Thai",1,4.0
"American, Mexican, Seafood",1,4.0
"Seafood, Bar Food, Brazilian",1,4.0
"American, Fast Food, Desserts",1,4.0
Sri Lankan,1,4.0
"Seafood, Steak",1,4.0
"South Indian, Seafood, Kerala",1,4.0
"Street Food, Burger, Desserts, Italian, Pizza, North Indian, European, Finger Food",1,4.0
"American, Greek, Seafood",1,4.0
"American, Grill",1,4.0
"Continental, American, Italian, Seafood, North Indian, Cafe",2,4.0
"Contemporary, Burger, European",1,4.0
"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese",2,4.0
"Tex-Mex, American",1,4.0
BBQ,9,3.9777777777777774
Southern,4,3.9749999999999996
"Indian, Street Food",3,3.966666666666667
"Asian, Thai",3,3.966666666666667
"Biryani, North Indian, Hyderabadi",3,3.9666666666666663
"American, Italian, Pizza",3,3.9666666666666663
"North Indian, Asian, European",2,3.95
Parsi,2,3.95
"Seafood, Italian",2,3.95
"Asian, European",2,3.95
"Cafe, Fast Food, Street Food",2,3.95
"American, BBQ, Southern",2,3.95
"Burger, Bar Food",2,3.95
"North Indian, Thai, Continental",2,3.95
"Chinese, Thai, Sushi",2,3.95
"North Indian, Continental, Mexican, Italian",2,3.9499999999999997
"Asian, North Indian",2,3.9499999999999997
"Cafe, Continental, Fast Food",2,3.9499999999999997
"Cafe, Fast Food, Italian, Chinese",2,3.9499999999999997
"North Indian, Italian",3,3.933333333333333
"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",4,3.925
"Continental, American",5,3.9200000000000004
"Chinese, Italian, Continental, North Indian",2,3.9000000000000004
"Continental, European",2,3.9000000000000004
"Street Food, Continental, South Indian, North Indian, Chinese",1,3.9
"Hyderabadi, Fast Food",1,3.9
"Burger, Greek, Sandwich",1,3.9
"Continental, American, Italian, Bakery",1,3.9
"North Indian, Continental, Chinese, Japanese, Italian, Thai",1,3.9
"Healthy Food, Salad, Italian, Continental",1,3.9
"Japanese, Thai, Sushi",1,3.9
"Japanese, Sushi, Asian",1,3.9
"Japanese, Steak",1,3.9
"Brazilian, Grill",1,3.9
"Cafe, Italian, Chinese, Continental",2,3.9
"Cafe, Italian, Continental, Desserts",1,3.9
"Cafe, Italian, Pizza, European, Bakery, Deli",1,3.9
"North Indian, Chinese, South Indian, Italian",1,3.9
"North Indian, Chinese, Thai, Mexican, Italian",1,3.9
"Street Food, Continental, Burger, Grill",1,3.9
"German, Ice Cream",1,3.9
"Chinese, Thai, Asian, Japanese, Korean, Seafood",1,3.9
"Street Food, North Indian, Chinese, Continental",1,3.9
